Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	

MNI_MNI.img - 0	SFG_L	10247	47.4625	175.8717	112.9225	22.5661	
MNI_MNI.img - 0	SFG_R	8950	51.2530	180.1060	115.3333	22.6572	
MNI_MNI.img - 0	SFG_PFC_L	8366	38.7721	174.7533	111.5398	24.2958	
MNI_MNI.img - 0	SFG_PFC_R	10148	44.2145	182.5022	114.1837	24.9464	
MNI_MNI.img - 0	SFG_pole_L	1369	61.8437	173.1954	112.1150	22.9514	
MNI_MNI.img - 0	SFG_pole_R	2998	58.6238	180.3292	117.5266	25.5510	
MNI_MNI.img - 0	MFG_L	8550	46.5115	180.0137	112.2285	23.1584	
MNI_MNI.img - 0	MFG_R	7621	50.2605	170.6660	113.1037	21.8860	
MNI_MNI.img - 0	MFG_DPFC_L	8921	46.7761	175.7815	111.0009	24.5446	
MNI_MNI.img - 0	MFG_DPFC_R	10667	40.7229	186.5206	111.0301	25.4559	
MNI_MNI.img - 0	IFG_opercularis_L	3662	61.1113	184.5280	111.6455	23.6341	
MNI_MNI.img - 0	IFG_opercularis_R	3369	57.1540	184.0075	116.8462	23.7849	
MNI_MNI.img - 0	IFG_orbitalis_L	3264	36.3553	192.3922	114.8371	27.6007	
MNI_MNI.img - 0	IFG_orbitalis_R	2571	44.5400	183.9125	114.0206	27.3300	
MNI_MNI.img - 0	IFG_triangularis_L	2886	49.2911	186.2584	118.4523	24.0405	
MNI_MNI.img - 0	IFG_triangularis_R	2571	45.9442	182.4515	120.2360	25.0589	
MNI_MNI.img - 0	LFOG_L	4084	46.0575	173.0112	108.1905	22.5925	
MNI_MNI.img - 0	LFOG_R	4293	29.9906	180.4054	108.2925	22.3426	
MNI_MNI.img - 0	MFOG_L	4310	42.0991	173.5685	110.7768	24.4123	
MNI_MNI.img - 0	MFOG_R	4372	35.7529	184.4761	107.1762	25.1467	
MNI_MNI.img - 0	RG_L	5949	45.0985	188.1243	102.8138	25.9967	
MNI_MNI.img - 0	RG_R	6105	51.2900	188.8914	108.3043	26.4835	
MNI_MNI.img - 0	PoCG_L	10527	47.6759	177.5765	119.1475	23.5272	
MNI_MNI.img - 0	PoCG_R	8875	30.8780	182.0575	119.8540	23.5531	
MNI_MNI.img - 0	PrCG_L	12510	46.3634	176.2018	118.1531	22.1230	
MNI_MNI.img - 0	PrCG_R	13256	42.3586	188.5548	120.5874	22.9792	
MNI_MNI.img - 0	SPG_L	6198	52.0346	178.4430	121.8820	24.9239	
MNI_MNI.img - 0	SPG_R	4431	59.6722	184.3578	123.7292	25.1064	
MNI_MNI.img - 0	SMG_L	6673	46.3282	180.7159	114.0343	25.0553	
MNI_MNI.img - 0	SMG_R	5906	51.2328	196.9642	114.8201	23.5817	
MNI_MNI.img - 0	AG_L	6160	44.6819	180.2569	113.3489	24.3986	
MNI_MNI.img - 0	AG_R	8791	35.4011	183.0308	113.7012	24.9143	
MNI_MNI.img - 0	PrCu_L	7395	38.5046	188.4417	113.6790	24.7970	
MNI_MNI.img - 0	PrCu_R	7640	41.5169	191.3773	112.6308	23.9998	
MNI_MNI.img - 0	STG_L	10554	42.3620	182.8462	109.2389	22.0431	
MNI_MNI.img - 0	STG_R	10956	28.6236	186.7751	110.2374	21.0728	
MNI_MNI.img - 0	STG_L_pole	3576	51.4795	163.3615	99.8479	19.4662	
MNI_MNI.img - 0	STG_R_pole	3375	51.7502	169.3299	102.4083	19.2333	
MNI_MNI.img - 0	MTG_L	10902	42.0110	184.9396	104.3511	24.7131	
MNI_MNI.img - 0	MTG_R	11253	39.5691	196.4624	103.6250	23.7336	
MNI_MNI.img - 0	MTG_L_pole	565	57.6767	170.1588	108.1554	22.6877	
MNI_MNI.img - 0	MTG_R_pole	561	64.6476	167.8530	108.8688	23.7950	
MNI_MNI.img - 0	ITG_L	8511	26.3075	176.5476	100.2007	25.2791	
MNI_MNI.img - 0	ITG_R	10443	26.1262	176.6090	104.5303	24.6259	
MNI_MNI.img - 0	PHG_L	1205	72.7076	184.1131	118.0866	21.3195	
MNI_MNI.img - 0	PHG_R	1324	60.6621	191.2651	123.3085	23.0098	
MNI_MNI.img - 0	ENT_L	467	83.7918	172.2798	121.2181	18.6207	
MNI_MNI.img - 0	ENT_R	592	83.7212	186.0551	120.9805	21.3472	
MNI_MNI.img - 0	FuG_L	15543	25.3128	189.3166	103.0100	25.2713	
MNI_MNI.img - 0	FuG_R	15829	30.5538	185.5229	104.7245	22.7402	
