Gray Images
Image	Object	Pixels	Min	Max	Mean	Std	

Color Images
Image	Object	Pixels	RMin	RMax	RMean	RStd	GMin	GMax	GMean	GStd	BMin	BMax	BMean	BStd	

MNI_MNI.img - 0	Frontal_L	74118	36.3553	192.3922	112.3627	24.0954	
MNI_MNI.img - 0	Frontal_R	76921	29.9906	188.8914	114.1267	24.5754	
MNI_MNI.img - 0	Parietal_L	36953	38.5046	188.4417	116.6218	24.6721	
MNI_MNI.img - 0	Parietal_R	35643	30.8780	196.9642	116.4358	24.4968	
MNI_MNI.img - 0	Temporal_L	49651	25.3128	189.3166	103.9777	24.2915	
MNI_MNI.img - 0	Temporal_R	52417	26.1262	196.4624	105.4973	22.9598	
MNI_MNI.img - 0	Limbic_L	34159	25.9378	186.6449	105.2520	22.9395	
MNI_MNI.img - 0	Limbic_R	36599	26.7758	191.7183	103.7091	22.9068	
MNI_MNI.img - 0	Occipital_L	33979	25.2750	200.2987	109.7712	26.0846	
MNI_MNI.img - 0	Occipital_R	35170	24.8784	184.8370	108.2141	24.6255	
MNI_MNI.img - 0	Insula_L	9225	40.4588	163.1078	105.1501	20.9067	
MNI_MNI.img - 0	Insula_R	8718	48.3830	170.5390	111.4667	22.2043	
MNI_MNI.img - 0	BasalGang_L	12387	80.4292	216.6713	146.0088	24.1545	
MNI_MNI.img - 0	BasalGang_R	12766	82.5775	218.8680	147.2053	24.3840	
MNI_MNI.img - 0	Thalamus_L	6967	117.8069	202.5743	163.5141	15.5783	
MNI_MNI.img - 0	Thalamus_R	6930	114.5473	204.0684	161.5153	16.8637	
MNI_MNI.img - 0	BasalForebrain_L	3237	44.8943	222.8716	158.1669	28.8763	
MNI_MNI.img - 0	BasalForebrain_R	3286	44.6248	217.1434	158.7246	28.4176	
MNI_MNI.img - 0	midbrain_L	6380	126.1356	238.1416	192.6080	17.2447	
MNI_MNI.img - 0	midbrain_R	6552	115.9245	238.2633	193.1127	18.4411	
MNI_MNI.img - 0	Cerebellum_R	67432	37.1814	231.8558	132.2701	34.8986	
MNI_MNI.img - 0	Cerebellum_L	66521	27.1158	230.6805	130.6210	35.6001	
MNI_MNI.img - 0	Pons_L	8895	116.6742	233.0371	192.7346	12.7297	
MNI_MNI.img - 0	Pons_R	9486	128.0890	229.3414	192.1539	12.5806	
MNI_MNI.img - 0	Medulla_L	2781	0.0000e+000	225.6097	176.5358	33.5616	
MNI_MNI.img - 0	Medulla_R	2900	0.0000e+000	227.3000	175.7583	30.2781	
MNI_MNI.img - 0	AnteriorWM_L	83256	83.1720	225.3377	187.7208	13.9667	
MNI_MNI.img - 0	AnteriorWM_R	86862	82.9922	224.6745	188.8030	13.0089	
MNI_MNI.img - 0	PosteriorWM_L	68082	81.2975	217.0479	185.4191	14.6272	
MNI_MNI.img - 0	PosteriorWM_R	68585	83.4528	223.2191	185.4406	15.5557	
MNI_MNI.img - 0	CorpusCallosum_L	14300	123.5462	229.6718	192.3394	11.3335	
MNI_MNI.img - 0	CorpusCallosum_R	15098	118.1458	234.0877	192.1671	12.7040	
MNI_MNI.img - 0	InferiorWM_L	54928	105.9913	230.8983	185.4166	16.4891	
MNI_MNI.img - 0	InferiorWM_R	55732	102.5826	227.1528	186.3670	16.0357	
MNI_MNI.img - 0	LimbicWM_L	13401	28.1317	231.1373	176.7200	20.1693	
MNI_MNI.img - 0	LimbicWM_R	12933	59.9364	224.1716	175.7036	20.8779	
MNI_MNI.img - 0	LateralVentricle_L	13023	10.8631	175.9578	57.8860	34.1441	
MNI_MNI.img - 0	LateralVentricle_R	14775	8.4001	173.3707	52.5950	35.1471	
MNI_MNI.img - 0	IIIandIV_Ventricle	6696	12.2143	164.6838	74.3209	36.2101	
MNI_MNI.img - 0	FrontSul_L	21809	12.7065	105.2997	56.8349	17.0974	
MNI_MNI.img - 0	FrontSul_R	17795	14.0910	104.2563	59.1496	17.0891	
MNI_MNI.img - 0	CentralSul_L	3357	13.9485	105.5174	54.1686	18.0616	
MNI_MNI.img - 0	CentralSul_R	3420	14.9753	108.1733	50.2273	19.0069	
MNI_MNI.img - 0	SylvianFissureExt_L	10725	13.6612	112.2530	58.8439	17.5224	
MNI_MNI.img - 0	SylvianFissureExt_R	10937	11.8986	110.9413	59.4698	19.1549	
MNI_MNI.img - 0	ParietSul_L	12095	14.0640	105.8605	55.7217	17.4663	
MNI_MNI.img - 0	ParietSul_R	11654	14.0394	107.9528	53.3095	18.5276	
MNI_MNI.img - 0	CinguSul_L	6093	14.7503	98.7034	57.9596	17.1729	
MNI_MNI.img - 0	CinguSul_R	6884	12.0876	98.1384	58.4202	16.1884	
MNI_MNI.img - 0	OcciptSul_L	4176	21.8449	101.4314	60.7632	14.1998	
MNI_MNI.img - 0	OcciptSul_R	3552	15.7378	99.6427	59.9217	14.5587	
MNI_MNI.img - 0	TempSul_L	3557	19.1296	95.9036	64.1769	12.5706	
MNI_MNI.img - 0	TempSul_R	2458	21.1575	93.1658	62.3599	13.8306	

